ABCG8_S,ABCG8_E,ABCG8_M,AFP_S,AFP_E,AFP_M,BFSP2_S,BFSP2_E,BFSP2_M,C16orf11_S,C16orf11_E,C16orf11_M,CHIA_S,CHIA_E,CHIA_M,DDX4_S,DDX4_E,DDX4_M,DEFB119_S,DEFB119_E,DEFB119_M,FLG2_S,FLG2_E,FLG2_M,HOXA7_S,HOXA7_E,HOXA7_M,IL31RA_S,IL31RA_E,IL31RA_M,KERA_S,KERA_E,KERA_M,KRT33B_S,KRT33B_E,KRT33B_M,MMP1_S,MMP1_E,MMP1_M,MUC16_S,MUC16_E,MUC16_M,NPSR1_S,NPSR1_E,NPSR1_M,OPN5_S,OPN5_E,OPN5_M,ROS1_S,ROS1_E,ROS1_M,RPL10L_S,RPL10L_E,RPL10L_M,SLC26A3_S,SLC26A3_E,SLC26A3_M,SLC6A18_S,SLC6A18_E,SLC6A18_M,TMPRSS11F_S,TMPRSS11F_E,TMPRSS11F_M,TNNT3_S,TNNT3_E,TNNT3_M,VIL1_S,VIL1_E,VIL1_M,XDH_S,XDH_E,XDH_M,Tumor_Status
0,0,0.863491993225,0,2.33350960587431,0.946949841647,0,0,0.777794644668,0,2.74854710515316,0.719109940116,0,0,0.902624595381,0,0,0.946987854603,0,0,0.564284274675,0,0,0.525400692386,0,3.47101833383265,0.353613944111,0,-1.57346686188333,0.742132386297,0,1.59655355274251,0.646055704596,0,0,0.885003319923,0,-1.57346686188333,0.909159230277,0,-1.57346686188333,0.774726756219,0,0,0.822042437545,0,0.0116387562468937,0.554110607551,0,0,0.884141173524,0,0,0.928034233507,0,0,0.846594111042,0,0,0.819766868605,0,0,0.869827198161,0,0,0.788102054509,0,-1.57346686188333,0.831141462991,0,-0.573466861883327,0.838475850369,1
0,0,0.890727901409,0,0,0.965522489657,0,0,0.77830256845,0,0,0.725353941666,0,-1.01333422630309,0.944202694872,0,0,0.946269444246,0,0,0.469478596039,0,0.98652015724048,0.809747496174,0,-1.01333422630309,0.471864817475,0,0,0.887548773108,0,0,0.56297495194,0,0,0.768519995699,0,0,0.921001266294,0,0,0.837884778537,0,0,0.80482840488,0,0,0.49286310323,0,0,0.901310898297,0,0,0.875623194703,0,0,0.788934102714,0,0,0.838143761287,0,0,0.862154788013,0,0,0.831990578237,0,0,0.819301877005,0,0,0.884763774775,1
0,0,0.801878556669,0,0,0.924769528538,0,-1.46713449689368,0.745955002954,0,0,0.676738436336,0,0,0.909388547223,0,0,0.92998791937,0,0,0.496969447386,0,0,0.451082113494,0,4.99215207260027,0.412286881179,0,0,0.749580973126,0,-0.467333943225767,0.541419975206,0,0.532765783386853,0.755565326258,0,0.117695042669755,0.768988723926,0,0,0.800554035509,0,0,0.773808940324,0,0,0.532208878672,0,0.854634043133882,0.859941115843,0,0,0.88129956797,0,0,0.807374781117,0,0,0.764654722775,0,0,0.849432269956,0,0,0.753579243926,0,-1.46713449689368,0.750804506172,0,-0.467333943225767,0.794212114577,1
0,0,0.850330459095,0,-1.21390553237096,0.936897852022,0,-0.214072869266219,0.836139336455,0,0,0.729359298542,0,-1.21390553237096,0.904846885436,0,-0.214072869266219,0.927253295996,0,3.78600034301372,0.579644450021,0,-1.21390553237096,0.933262288001,0,2.78598988434405,0.176176329115,0,0,0.875941805508,0,0,0.891099085592,0,0,0.906476692618,0,-0.214072869266219,0.935082495203,0,0,0.758429214992,0,0,0.828466776954,0,0,0.556992318769,0,-1.21390553237096,0.899498039618,0,0,0.9118739231,0,0,0.929471318216,0,0,0.844713461128,0,-0.214072869266219,0.875817800259,0,0,0.8479103926,0,-1.21390553237096,0.862335877295,0,-1.21390553237096,0.889355153426,1
0,0,0.815294482437,0,-0.560855624098721,0.92112949864,0,0,0.791191282257,0,-1.56106845806546,0.598645015096,0,-1.56106845806546,0.915225214873,0,-1.56106845806546,0.908056623705,0,0,0.782644864622,0,0,0.305007365499,0,6.30421714307357,0.378654937744,0,-1.56106845806546,0.797900119509,0,0,0.572784723341,0,0,0.496690106473,0,0,0.932949940453,0,-1.56106845806546,0.508783434283,0,-1.56106845806546,0.840004793871,0,-1.56106845806546,0.340230633657,0,0,0.834294004714,0,0,0.89336682459,0,-0.560855624098721,0.857442937939,0,0,0.567227256787,0,-0.560855624098721,0.894934933681,0,0,0.691329669245,0,0.43903796284271,0.760013176935,0,0,0.83097670836,1
0,0,0.845173656396,0,0,0.824395270699,0,0,0.861164635045,0,-0.273691909234515,0.771818225721,0,-1.27369190923451,0.915556588715,0,-1.27369190923451,0.905776197553,0,6.97426199450676,0.371117200858,0,1.7263516918668,0.589340999983,0,-1.27369190923451,0.210477742291,0,1.89627184880738,0.810175726708,0,0,0.894353652857,0,0,0.672121364137,0,2.18577141942533,0.894965294021,0,-1.27369190923451,0.528901391616,0,-1.27369190923451,0.710023082365,0,0,0.516234875807,0,0,0.913352698412,0,0.726308090765485,0.917421971604,0,0,0.896024451824,0,0,0.705631154584,0,-1.27369190923451,0.896636190068,0,0,0.756819022417,1,-1.27369190923451,0.812881832232,0,0,0.781357951587,0
0,0,0.895112620846,0,0,0.948757812775,0,1.08834516129908,0.869171551595,0,0,0.799100252186,0,1.50339962298398,0.937888986283,0,-0.496549490994431,0.954928264905,0,3.50341234465764,0.584504086213,0,0.088413009726725,0.900166433227,0,2.41031396562593,0.34257010788,0,0,0.898401808064,0,-1.49654949099443,0.921930606176,0,0,0.933905569108,0,-0.496549490994431,0.941597460033,0,-1.49654949099443,0.684885781713,0,0,0.841877720974,0,-0.496549490994431,0.594652417516,0,0,0.939023081214,0,0,0.920164696084,0,0.088413009726725,0.938381681271,0,0,0.814297709323,0,0,0.90816232315,0,0,0.848542522134,0,0,0.859929622828,0,0,0.906402431799,1
0,-1.5525794954095,0.871289546738,0,0,0.956508359061,0,-1.5525794954095,0.89401751356,0,0,0.802399319959,0,0.0322419311374938,0.848810956986,0,-1.5525794954095,0.956745279951,0,0,0.189401660959,0,0,0.940402832074,0,0,0.446374862731,0,0,0.945174092979,0,0,0.878513509182,0,0,0.912045322003,0,0.769179308813397,0.954530537521,0,0,0.770127431942,0,0,0.819528748112,0,0,0.521638159575,0,0.769179308813397,0.931657603378,0,-1.5525794954095,0.926765561476,0,-1.5525794954095,0.921380627451,0,0,0.902221405437,0,0.0322419311374938,0.894071461965,0,-1.5525794954095,0.882644790274,0,0,0.882658314798,0,0,0.877476292743,1
0,-1.2709040918629,0.871808692553,0,2.5365254298435,0.945129621802,0,0,0.853841477924,0,-1.2709040918629,0.733203766834,0,0,0.937856214851,0,0,0.947238391697,0,-1.2709040918629,0.321382402008,0,-0.270904091862896,0.948490576682,0,0.729182940685672,0.219277819941,0,0,0.89997423032,0,0,0.921286139588,0,0,0.899747034384,0,0,0.948045995881,0,0,0.797764798653,0,2.5365254298435,0.841296088742,0,-1.2709040918629,0.587446555351,0,0,0.930045211688,0,-0.270904091862896,0.872968058269,0,0,0.944543528041,0,0,0.836631894937,0,0,0.89537541574,0,0,0.846459358373,0,0,0.882347799673,0,-1.2709040918629,0.889593708868,0
0,0,0.853974503117,0,0,0.947700293451,0,6.99532848229258,0.869400757856,0,0,0.785709662143,0,0,0.911429535128,0,-0.79911904571404,0.937796564249,0,0,0.607822921028,0,0,0.933441458572,0,0,0.415110615897,0,0,0.811199155577,0,-0.79911904571404,0.922348997494,0,0,0.886869132189,0,3.3708338481764,0.941866096037,0,0,0.761422745959,0,0,0.828430542934,0,0,0.569159473542,0,0,0.924708689177,0,0.785843455007116,0.892146725379,0,1.20094371153594,0.945357959476,0,-0.79911904571404,0.843083641943,0,0,0.894293155508,0,0.200880954285959,0.857703287358,0,0,0.853995704723,0,0,0.898206628621,0
0,0.999639281148042,0.883089827778,0,0,0.948825091453,0,0.414676780426886,0.876873474482,0,0,0.746783324663,0,-1.5851067774392,0.945203327155,0,2.5846017818692,0.941866488201,0,0,0.133321497935,0,-0.000288567865926343,0.799309769176,0,-1.5851067774392,0.267834804019,0,0.414676780426886,0.866087673777,0,0,0.922037851649,0,-0.585323219573114,0.891207020767,0,-0.585323219573114,0.931971103678,0,0,0.488948246251,0,0.414676780426886,0.817545548971,0,0,0.575280624595,0,-0.000288567865926343,0.862060028281,0,0,0.900578055821,0,-1.5851067774392,0.881675878996,0,0,0.73741374363,0,-1.5851067774392,0.885517081465,0,0,0.840505073183,0,-1.5851067774392,0.85712142464,0,0,0.828999156029,0
0,-0.434987819101775,0.855783804272,0,0.150039692774153,0.954048065699,0,0,0.816788718873,0,0.150039692774153,0.702745097326,0,-1.43479279442545,0.925519950753,0,-1.43479279442545,0.942501855481,0,1.37239496523802,0.607841825552,0,0,0.829028069969,0,3.65249796759653,0.157931130133,0,1.14997468161938,0.873229566394,0,0,0.85280387036,0,0,0.890184206565,0,0,0.942178821213,0,0,0.80739686604,0,0.150039692774153,0.801985846319,0,-1.43479279442545,0.557554910329,0,3.42301335221492,0.866422045438,0,0,0.899551903554,0,0,0.947465601113,0,0,0.78204740201,0,-1.43479279442545,0.898227540477,0,-0.434987819101775,0.806775903511,0,-1.43479279442545,0.850610272865,0,-0.434987819101775,0.874473526298,0
0,0,0.810418915734,0,0,0.656782506992,0,0,0.882326693898,0,-0.510457064357526,0.727797665544,0,1.29689785770008,0.924956730872,0,-1.51045706435753,0.939319096882,0,0,0.147856254596,0,0,0.211518384865,0,1.07450543636363,0.253213489762,0,0,0.853229322448,0,0,0.881845137143,0,-0.510457064357526,0.458565524304,0,2.73747044908606,0.803982799675,0,0,0.526743744922,0,-0.510457064357526,0.734146041731,0,0,0.292999941854,0,0.0745054363636298,0.803308935851,0,0.811471030529836,0.903197374787,0,0,0.730947437685,0,1.94897455427977,0.750018331539,0,-1.51045706435753,0.883582843088,0,-1.51045706435753,0.822929738933,0,-1.51045706435753,0.791475281546,0,-0.510457064357526,0.813056006556,1
0,-0.690125339963234,0.892786879633,0,-0.105162839242078,0.957186707798,0,0,0.864842485938,0,0,0.763447716102,0,0,0.915145099285,0,-0.690125339963234,0.94666598893,0,0,0.434447847487,0,-1.69012533996323,0.943559146997,0,-0.105162839242078,0.146459396494,0,0,0.914445695289,0,-0.105162839242078,0.888544107611,0,1.11729608565724,0.90678843124,0,0,0.949699125337,0,0,0.803255515588,0,0,0.858796637238,0,0,0.588853475994,0,2.11726283425901,0.909386940828,0,0,0.903260320414,0,-0.690125339963234,0.949756419657,0,1.63184930774002,0.856691870096,0,0,0.905596541113,0,-1.69012533996323,0.866366131729,0,0,0.881118189689,0,-1.69012533996323,0.915747660543,1
0,-0.612196335466671,0.794048184118,0,0,0.888909369082,0,-1.61219633546667,0.779203128457,0,0,0.657144361247,0,1.9728396727592,0.880137428345,0,-0.027086823481222,0.897426331483,0,0,0.155106829835,0,-0.612196335466671,0.150913569683,0,1.9728396727592,0.393628724454,0,-1.61219633546667,0.690903399563,0,-0.027086823481222,0.761017208417,0,-1.61219633546667,0.784922330061,0,1.19522159325284,0.932561495546,0,0,0.47655779335,0,0,0.709207020917,0,0,0.448209899267,0,1.38791392438595,0.78539913161,0,-1.61219633546667,0.877242575907,0,0.709819967976916,0.695097058723,0,1.38791392438595,0.782638863358,0,-0.027086823481222,0.862961829326,0,-0.027086823481222,0.770418612181,0,0,0.705992847231,0,-1.61219633546667,0.804277123402,0
0,0,0.890880637867,0,0,0.939683513476,0,0,0.897196405928,0,-0.510868147147283,0.808138451822,0,0.0740943535738734,0.916008695732,0,0,0.942924045719,0,3.91542529155076,0.599722201828,0,-1.51086814714728,0.90505778689,0,0.489131852852717,0.218642507303,0,-1.51086814714728,0.927762804956,0,0,0.908743225616,0,0,0.909984579186,0,0.0740943535738734,0.945849614716,0,0,0.799399289078,0,0,0.890981889508,0,0,0.573849783642,0,0,0.921211442377,0,-1.51086814714728,0.887361066644,0,0,0.943493555685,0,0,0.878601106153,0,0,0.898157036516,0,0,0.881893239594,0,-1.51086814714728,0.892561695436,0,0,0.920173585377,0
0,-0.178208163792444,0.850356094563,0,0,0.951690758111,0,-1.7631706645136,0.88165183138,0,-0.7631706645136,0.809052158666,0,0,0.937832941669,0,0,0.945373345217,0,-1.7631706645136,0.763060334564,0,0,0.596910703374,0,-1.7631706645136,0.324010229079,0,0,0.886609416736,0,0.558757430373762,0.926266071566,0,0,0.761926920055,0,1.6962609541237,0.948600057017,1,0,0.637000650959,0,0,0.845078104269,0,-0.7631706645136,0.582469541081,0,1.93726905362749,0.939448703551,0,-1.7631706645136,0.920054846277,0,-1.7631706645136,0.951669560524,0,-1.7631706645136,0.794612808927,0,0.2368293354864,0.896616514767,0,0,0.838065338924,0,-1.7631706645136,0.87784971124,0,0,0.909158561361,1
0,0,0.866732056101,0,0,0.948031383502,0,-0.938984225318372,0.888506287396,0,0,0.759782291985,0,0.0611540632071007,0.923169517458,0,-0.938984225318372,0.921577256417,0,0.646070469225923,0.129887889121,0,0,0.780383242727,0,1.0611540632071,0.295950353751,0,0,0.866441980286,0,0,0.900795742471,0,0.0611540632071007,0.906116666621,0,0,0.93519915159,0,0,0.630848183763,0,0.0611540632071007,0.818824635983,0,0,0.588901469129,0,0,0.922040346306,0,0.0611540632071007,0.874356258072,0,0,0.907418361001,0,0,0.809665078197,0,0,0.892906931247,0,0,0.868017505916,0,-0.938984225318372,0.802806885418,0,0,0.90498332066,0
0,0,0.835136986585,0,0,0.912972226093,0,0.14326279303862,0.858079296598,0,0,0.742286564046,0,0.14326279303862,0.874181664123,0,0,0.930235009535,0,0,0.330964100053,0,0,0.823549730981,0,-0.85673720696138,0.284689507391,0,0,0.819809782736,0,0,0.87367066117,0,0,0.915788144986,0,0.14326279303862,0.941835855929,1,0,0.820544066167,0,0,0.807272923387,0,-0.85673720696138,0.564632950912,0,0,0.865277100736,0,0,0.885043686354,0,0,0.871011203721,0,0,0.84724438643,0,0,0.883287392815,0,-0.85673720696138,0.845290583433,0,0,0.861680159441,0,0,0.878580066885,1
